prenom;nom;login;"ECTS acquis";Moyenne;"Choix 1";"Choix 2";password;pseudo;"profile picture";"birth date";adress;"attributed option";"pseudo bloquee"
Alexandria;Delaunay;AlexandriaDelaunay@cy-tech.fr;30;13,547;MMF;ACTU;2nsrEO;Alexandria.Delaunay;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;MMF;
Antoine-Nicolas;Morel;Antoine-NicolasMorel@cy-tech.fr;30;13,439;MMF;ACTU;cB5yRn;Antoine-Nicolas.Morel;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;MMF;
Inès;Costa;InèsCosta@cy-tech.fr;30;13,394;MMF;ACTU;4KFbR2;Inès.Costa;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;MMF;
Franck;Bernard;FranckBernard@cy-tech.fr;30;13,291;MMF;ACTU;8sA0Uc;Franck.Bernard;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;MMF;
Agnès;Blanchard;AgnèsBlanchard@cy-tech.fr;30;13,079;ACTU;MMF;8-jfLF;Agnès.Blanchard;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;ACTU;
Marine;Martel;MarineMartel@cy-tech.fr;30;12,916;MMF;ACTU;i_1vvG;Marine.Martel;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;MMF;
Sébastien;Chauvin;SébastienChauvin@cy-tech.fr;30;12,869;MMF;ACTU;26WjB6;Sébastien.Chauvin;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;MMF;
Alexandre;Garcia;AlexandreGarcia@cy-tech.fr;30;12,778;MMF;ACTU;A0O2cR;Alexandre.Garcia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;MMF;
Eugène;du;Eugènedu@cy-tech.fr;30;12,703;MMF;ACTU;7i7et4;Eugène.du;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;MMF;
Claude;Benoit;ClaudeBenoit@cy-tech.fr;30;12,291;MMF;ACTU;Q@CUPI;Claude.Benoit;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;MMF;
Dorothée;Pottier;DorothéePottier@cy-tech.fr;30;12,163;MMF;ACTU;QcmYnI;Dorothée.Pottier;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;MMF;
Stéphanie;du;Stéphaniedu@cy-tech.fr;30;12,129;MMF;ACTU;i7MtRY;Stéphanie.du;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;MMF;
François;Bernard;FrançoisBernard@cy-tech.fr;30;12,043;MMF;ACTU;UnsDy8;François.Bernard;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;MMF;
Corinne;Humbert;CorinneHumbert@cy-tech.fr;30;11,801;MMF;ACTU;sUoNo@;Corinne.Humbert;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;MMF;
Charlotte;Lelievre;CharlotteLelievre@cy-tech.fr;30;11,766;MMF;ACTU;HkzS2N;Charlotte.Lelievre;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;MMF;
Olivie-Amélie;Imbert;Olivie-AmélieImbert@cy-tech.fr;30;11,635;MMF;ACTU;dF5p9x;Olivie-Amélie.Imbert;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;MMF;
Maurice;Guillou;MauriceGuillou@cy-tech.fr;30;11,498;MMF;ACTU;xnuZvW;Maurice.Guillou;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;MMF;
Laurence;Meunier;LaurenceMeunier@cy-tech.fr;30;10,826;ACTU;MMF;B-dg8H;Laurence.Meunier;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;ACTU;
Marguerite;Denis;MargueriteDenis@cy-tech.fr;30;10,745;MMF;ACTU;@pzoYz;Marguerite.Denis;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;MMF;
Charlotte;Marchal;CharlotteMarchal@cy-tech.fr;15;12,513;MMF;ACTU;7YhMbN;Charlotte.Marchal;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;MMF;
Thierry;Colin;ThierryColin@cy-tech.fr;15;11,784;ACTU;MMF;WZqZZU;Thierry.Colin;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;ACTU;
Thibault-Olivier;Gerard;Thibault-OlivierGerard@cy-tech.fr;15;11,616;MMF;ACTU;VvsjGE;Thibault-Olivier.Gerard;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;MMF;
Étienne;Pons;ÉtiennePons@cy-tech.fr;15;11,26;MMF;ACTU;rxPttP;Étienne.Pons;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;MMF;
Hugues;Pons;HuguesPons@cy-tech.fr;15;11,151;MMF;ACTU;dKeCyV;Hugues.Pons;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;MMF;
Hugues;Raynaud;HuguesRaynaud@cy-tech.fr;15;11,088;ACTU;MMF;geuR3!;Hugues.Raynaud;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;ACTU;
Robert;Le;RobertLe@cy-tech.fr;15;11,062;MMF;ACTU;DcGb76;Robert.Le;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;MMF;
Louise;Guillet;LouiseGuillet@cy-tech.fr;15;11,058;MMF;ACTU;bInJAu;Louise.Guillet;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;MMF;
Laurent;Bailly-Lebrun;LaurentBailly-Lebrun@cy-tech.fr;15;10,942;MMF;ACTU;_vc9S9;Laurent.Bailly-Lebrun;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;MMF;
Nicolas-Alexandre;Michel;Nicolas-AlexandreMichel@cy-tech.fr;15;10,663;MMF;ACTU;b-t3bV;Nicolas-Alexandre.Michel;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;MMF;
Odette;Schmitt;OdetteSchmitt@cy-tech.fr;15;10,226;MMF;ACTU;dEL4Wo;Odette.Schmitt;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;MMF;
René;Aubert;RenéAubert@cy-tech.fr;15;10,186;MMF;ACTU;iedv7r;René.Aubert;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;MMF;
Antoine;Grenier;AntoineGrenier@cy-tech.fr;15;9,736;ACTU;MMF;tJ!JaG;Antoine.Grenier;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;ACTU;
David;Colas;DavidColas@cy-tech.fr;15;9,724;ACTU;MMF;jPEBkP;David.Colas;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;ACTU;
François;Colas;FrançoisColas@cy-tech.fr;15;7,319;ACTU;MMF;Jk0tyK;François.Colas;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;ACTU;
Christiane;Le;ChristianeLe@cy-tech.fr;15;5,961;ACTU;MMF;Jss@JG;Christiane.Le;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;ACTU;
Anouk;Le;AnoukLe@cy-tech.fr;15;4,927;ACTU;MMF;fnIEcO;Anouk.Le;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;ACTU;
Thibault;Lebon;ThibaultLebon@cy-tech.fr;15;10,096;MMF;ACTU;5VcSCD;Thibault.Lebon;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;MMF;
Richard;Rocher;RichardRocher@cy-tech.fr;15;9,971;MMF;ACTU;SUsw6g;Richard.Rocher;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;MMF;
Denise-Valentine;Perrin;Denise-ValentinePerrin@cy-tech.fr;15;9,953;MMF;ACTU;G0fzGW;Denise-Valentine.Perrin;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;MMF;
Élisabeth;Leclerc;ÉlisabethLeclerc@cy-tech.fr;15;9,743;MMF;ACTU;x_1qYy;Élisabeth.Leclerc;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;MMF;
David;Bouvier;DavidBouvier@cy-tech.fr;15;9,645;MMF;ACTU;5Tf_A1;David.Bouvier;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;MMF;
Frédéric;du;Frédéricdu@cy-tech.fr;15;9,532;MMF;ACTU;HunjxZ;Frédéric.du;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;MMF;
Marine;Labbe;MarineLabbe@cy-tech.fr;15;10,627;MMF;ACTU;uYtkln;Marine.Labbe;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;MMF;
Marthe;Charrier-Lelievre;MartheCharrier-Lelievre@cy-tech.fr;15;9,468;MMF;ACTU;I1q8BA;Marthe.Charrier-Lelievre;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;MMF;
Adélaïde-Antoinette;Pinto;Adélaïde-AntoinettePinto@cy-tech.fr;15;9,363;MMF;ACTU;g9U1ml;Adélaïde-Antoinette.Pinto;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;MMF;
Luc-Léon;Bernard;Luc-LéonBernard@cy-tech.fr;15;9,061;MMF;ACTU;n9Aazu;Luc-Léon.Bernard;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;MMF;
Antoine;Martel;AntoineMartel@cy-tech.fr;15;8,902;MMF;ACTU;0TmpQH;Antoine.Martel;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;MMF;
Hortense;Boutin;HortenseBoutin@cy-tech.fr;15;8,569;MMF;ACTU;kYJSXd;Hortense.Boutin;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;MMF;
Louis;Hoareau;LouisHoareau@cy-tech.fr;15;8,389;MMF;ACTU;G7Y3AP;Louis.Hoareau;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;MMF;
Alexandre;Carre-Diaz;AlexandreCarre-Diaz@cy-tech.fr;15;8,13;MMF;ACTU;rEzPBi;Alexandre.Carre-Diaz;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;MMF;
Raymond;Maurice;RaymondMaurice@cy-tech.fr;15;7,589;MMF;ACTU;PP4pEX;Raymond.Maurice;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;MMF;
Louise;Jourdan;LouiseJourdan@cy-tech.fr;15;7,401;MMF;ACTU;9N4FsH;Louise.Jourdan;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;MMF;
Georges-Olivier;Picard;Georges-OlivierPicard@cy-tech.fr;15;7,313;MMF;ACTU;4SKHnj;Georges-Olivier.Picard;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;MMF;
Élise;Durand;ÉliseDurand@cy-tech.fr;15;7,06;MMF;ACTU;DLULaz;Élise.Durand;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;MMF;
Noël;Morel;NoëlMorel@cy-tech.fr;15;6,666;MMF;ACTU;5@Bc0K;Noël.Morel;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;MMF;
Cécile;Poulain;CécilePoulain@cy-tech.fr;15;6,597;MMF;ACTU;Fi-MwS;Cécile.Poulain;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;MMF;
Françoise;Denis;FrançoiseDenis@cy-tech.fr;15;6,388;MMF;ACTU;5YBjHm;Françoise.Denis;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;MMF;
Isabelle;Gay;IsabelleGay@cy-tech.fr;15;6,273;MMF;ACTU;yg0kRW;Isabelle.Gay;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;MMF;
Alix;Lacombe;AlixLacombe@cy-tech.fr;15;6,187;MMF;ACTU;178b5N;Alix.Lacombe;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;MMF;
Thibault;Riou;ThibaultRiou@cy-tech.fr;15;6,066;MMF;ACTU;zxop0X;Thibault.Riou;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;MMF;
Bertrand;Hebert;BertrandHebert@cy-tech.fr;15;5,887;MMF;ACTU;niDewq;Bertrand.Hebert;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;MMF;
Adrien;Valentin;AdrienValentin@cy-tech.fr;15;5,273;MMF;ACTU;7M!x-K;Adrien.Valentin;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;MMF;
Aimée;Lambert;AiméeLambert@cy-tech.fr;15;2,987;MMF;ACTU;LMV8io;Aimée.Lambert;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;pd;
