prenom;nom;login;"ECTS acquis";Moyenne;"Choix 1";"Choix 2";"Choix 3";"Choix 4";"Choix 5";"Choix 6";password;pseudo;"profile picture";"birth date";adress;"attributed option";"pseudo bloquee"
Arthur;Duval;ArthurDuval@cy-tech.fr;30;14,961;"IAC ";"DS ";"BI ";"FT ";"IAP ";HPDA;Z8Prg-;Arthur.Duval;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;IAC;
Marine;Alves-Buisson;MarineAlves-Buisson@cy-tech.fr;30;14,93;"DS ";"IAC ";"FT ";"BI ";"HPDA ";IAP;s8-OPW;Marine.Alves-Buisson;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;DS;
Manon;Sauvage;ManonSauvage@cy-tech.fr;30;14,82;"DS ";"BI ";"HPDA ";"IAC ";"FT ";IAP;sL6CX8;Manon.Sauvage;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;DS;
Thibaut;Turpin;ThibautTurpin@cy-tech.fr;30;14,812;"DS ";"IAC ";"BI ";"FT ";"IAP ";HPDA;YMN8aE;Thibaut.Turpin;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;DS;
Élodie;Lopes;ÉlodieLopes@cy-tech.fr;30;14,793;"IAP ";"HPDA ";"IAC ";"DS ";"FT ";BI;SpC@aZ;Élodie.Lopes;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;IAP;
Julie;Perret;JuliePerret@cy-tech.fr;30;14,717;"DS ";"FT ";"IAC ";"BI ";"HPDA ";IAP;58HadO;Julie.Perret;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;DS;
Gilles;Leleu;GillesLeleu@cy-tech.fr;30;14,7;"DS ";"BI ";"FT ";"IAC ";"IAP ";HPDA;iz7oun;Gilles.Leleu;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;DS;
Christiane;Gomes;ChristianeGomes@cy-tech.fr;30;14,689;"DS ";"IAP ";"IAC ";"HPDA ";"FT ";BI;tXh_U@;Christiane.Gomes;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;DS;
Théophile;Carre-Charles;ThéophileCarre-Charles@cy-tech.fr;30;14,661;"DS ";"IAC ";"BI ";"FT ";"IAP ";HPDA;8rX3yZ;Théophile.Carre-Charles;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;DS;
Emmanuel;de;Emmanuelde@cy-tech.fr;30;14,449;"IAC ";"DS ";"BI ";"FT ";"HPDA ";IAP;peWe!h;Emmanuel.de;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;IAC;
Alphonse;Gomes;AlphonseGomes@cy-tech.fr;30;14,386;"DS ";"FT ";"IAC ";"BI ";"IAP ";HPDA;B6cJuu;Alphonse.Gomes;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;DS;
Benjamin;Rocher;BenjaminRocher@cy-tech.fr;30;14,354;"DS ";"HPDA ";"FT ";"IAP ";"IAC ";BI;@070sz;Benjamin.Rocher;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;DS;
Colette;Peron;ColettePeron@cy-tech.fr;30;14,305;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;C76Jon;Colette.Peron;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;DS;
Claude;De;ClaudeDe@cy-tech.fr;30;14,235;"DS ";"FT ";"IAC ";"IAP ";"BI ";HPDA;HBzj1g;Claude.De;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;DS;
Constance;du;Constancedu@cy-tech.fr;30;14,187;"IAP ";"HPDA ";"IAC ";"DS ";"FT ";BI;06whMj;Constance.du;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;IAP;
Gilbert;Pottier-Lamy;GilbertPottier-Lamy@cy-tech.fr;30;14,125;"DS ";"FT ";"IAC ";"HPDA ";"IAP ";BI;cXyeGD;Gilbert.Pottier-Lamy;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;DS;
Marianne-Alex;Carlier;Marianne-AlexCarlier@cy-tech.fr;30;14,103;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;_MDeRc;Marianne-Alex.Carlier;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;DS;
Adèle;Le;AdèleLe@cy-tech.fr;30;14,06;"DS ";"BI ";"IAC ";"FT ";"IAP ";HPDA;Q1y79F;Adèle.Le;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;DS;
Augustin;du;Augustindu@cy-tech.fr;30;14,018;"IAC ";"FT ";"DS ";"BI ";"IAP ";HPDA;KHsJid;Augustin.du;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;IAC;
Jeannine;Henry-Petitjean;JeannineHenry-Petitjean@cy-tech.fr;30;13,969;"IAP ";"HPDA ";"IAC ";"DS ";"BI ";FT;-8PC-u;Jeannine.Henry-Petitjean;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;IAP;
Augustin;Laroche;AugustinLaroche@cy-tech.fr;30;13,948;"IAC ";"DS ";"FT ";"BI ";"IAP ";HPDA;l-Li-1;Augustin.Laroche;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;IAC;
Denis;Julien;DenisJulien@cy-tech.fr;30;13,924;"FT ";"DS ";"IAP ";"IAC ";"HPDA ";BI;Ob7@w!;Denis.Julien;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;FT;
Chantal-Alexandria;Riviere;Chantal-AlexandriaRiviere@cy-tech.fr;30;13,87;"DS ";"IAC ";"FT ";"BI ";"HPDA ";IAP;0dPW!l;Chantal-Alexandria.Riviere;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;DS;
Benoît;Le;BenoîtLe@cy-tech.fr;30;13,868;"DS ";"IAC ";"FT ";"BI ";"HPDA ";IAP;gMZxPY;Benoît.Le;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;DS;
Alexandrie;Robin;AlexandrieRobin@cy-tech.fr;30;13,813;"HPDA ";"IAP ";"DS ";"IAC ";"BI ";FT;vNW86H;Alexandrie.Robin;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;HPDA;
Claire;Courtois;ClaireCourtois@cy-tech.fr;30;13,809;"FT ";"DS ";"BI ";"IAC ";"HPDA ";IAP;a@tve6;Claire.Courtois;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;FT;
Emmanuelle;Vallee;EmmanuelleVallee@cy-tech.fr;30;13,665;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;MPAkqu;Emmanuelle.Vallee;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;DS;
Bertrand;Jacquot;BertrandJacquot@cy-tech.fr;30;13,646;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;AooPM@;Bertrand.Jacquot;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;DS;
Agnès;Torres;AgnèsTorres@cy-tech.fr;30;13,61;"DS ";"FT ";"IAC ";"BI ";"IAP ";HPDA;it05EN;Agnès.Torres;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;DS;
Jean;Le;JeanLe@cy-tech.fr;30;13,539;"DS ";"FT ";"IAC ";"IAP ";"BI ";HPDA;-zIkqz;Jean.Le;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;DS;
Olivier;Valentin;OlivierValentin@cy-tech.fr;30;13,458;"DS ";"FT ";"IAC ";"BI ";"IAP ";HPDA;yhDI2H;Olivier.Valentin;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;DS;
Roger;Dupuis;RogerDupuis@cy-tech.fr;30;13,343;"DS ";"IAC ";"FT ";"BI ";"HPDA ";IAP;7pJUDh;Roger.Dupuis;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;DS;
Madeleine;Loiseau;MadeleineLoiseau@cy-tech.fr;30;13,319;"DS ";"IAC ";"FT ";"IAP ";"HPDA ";BI;clgFZJ;Madeleine.Loiseau;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;DS;
Frédérique;Hamon;FrédériqueHamon@cy-tech.fr;30;13,217;"IAC ";"DS ";"BI ";"FT ";"HPDA ";IAP;8VE2EF;Frédérique.Hamon;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;IAC;
Lorraine;Arnaud;LorraineArnaud@cy-tech.fr;30;13,094;"IAC ";"DS ";"FT ";"BI ";"IAP ";HPDA;1aDvoi;Lorraine.Arnaud;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;IAC;
Étienne;Bazin;ÉtienneBazin@cy-tech.fr;30;13,383;"DS ";"FT ";"IAC ";"BI ";"BI ";IAP;TMK83a;Étienne.Bazin;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;DS;
David;de;Davidde@cy-tech.fr;30;13,067;"FT ";"DS ";"IAC ";"IAP ";"HPDA ";BI;4-wIQn;David.de;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;FT;
Laure;Hoarau;LaureHoarau@cy-tech.fr;30;12,951;"IAP ";"IAC ";"DS ";"HPDA ";"FT ";BI;HjIUVw;Laure.Hoarau;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;IAP;
Claude;Breton;ClaudeBreton@cy-tech.fr;30;12,84;"IAP ";"IAC ";"FT ";"HPDA ";"DS ";BI;d1Zo-A;Claude.Breton;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;IAP;
Stéphane;Perrot;StéphanePerrot@cy-tech.fr;30;12,741;"DS ";"FT ";"IAC ";"BI ";"IAP ";HPDA;q4PQV9;Stéphane.Perrot;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;DS;
Alexandria;Dufour;AlexandriaDufour@cy-tech.fr;30;12,643;"IAP ";"HPDA ";"DS ";"IAC ";"BI ";FT;31mhKk;Alexandria.Dufour;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;IAP;
Céline;Marty;CélineMarty@cy-tech.fr;30;12,506;"IAC ";"DS ";"FT ";"IAP ";"BI ";HPDA;02AvPd;Céline.Marty;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;IAC;
Joséphine;Monnier;JoséphineMonnier@cy-tech.fr;30;12,462;"IAP ";"FT ";"IAC ";"BI ";"DS ";HPDA;alu8G8;Joséphine.Monnier;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;IAP;
Gabrielle;Laine;GabrielleLaine@cy-tech.fr;30;13,065;"FT ";"DS ";"BI ";"IAC ";"HPDA ";IAP;FBgf3f;Gabrielle.Laine;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;FT;
Célina;Guibert-Leconte;CélinaGuibert-Leconte@cy-tech.fr;30;12,519;"DS ";"FT ";"IAC ";"BI ";"IAP ";HPDA;!Vdyq3;Célina.Guibert-Leconte;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;DS;
Thérèse;Gillet;ThérèseGillet@cy-tech.fr;30;12,35;"IAC ";"DS ";"HPDA ";"IAP ";"FT ";BI;yjUe-s;Thérèse.Gillet;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;IAC;
Jean;Rodriguez;JeanRodriguez@cy-tech.fr;30;12,434;"FT ";"DS ";"IAC ";"IAP ";"BI ";HPDA;Lw1ye-;Jean.Rodriguez;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;FT;
Margaux-Chantal;Roy;Margaux-ChantalRoy@cy-tech.fr;30;12,386;"FT ";"DS ";"IAC ";"BI ";"IAP ";HPDA;b06AD0;Margaux-Chantal.Roy;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;FT;
Benoît-Nicolas;Loiseau;Benoît-NicolasLoiseau@cy-tech.fr;30;12,254;"FT ";"DS ";"IAC ";"HPDA ";"IAP ";BI;l77Ua7;Benoît-Nicolas.Loiseau;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;FT;
Agathe;Le;AgatheLe@cy-tech.fr;30;11,624;"HPDA ";"IAP ";"DS ";"FT ";"IAC ";BI;g-CUPo;Agathe.Le;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;HPDA;
Maurice;Dias;MauriceDias@cy-tech.fr;30;10,773;"IAC ";"DS ";"IAP ";"HPDA ";"FT ";BI;wNocqP;Maurice.Dias;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;IAC;
Charlotte;Ollivier;CharlotteOllivier@cy-tech.fr;30;12,165;"FT ";"DS ";"IAC ";"BI ";"HPDA ";IAP;rLm0qR;Charlotte.Ollivier;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;FT;
Anne-Camille;Muller;Anne-CamilleMuller@cy-tech.fr;30;11,741;"FT ";"BI ";"IAC ";"DS ";"HPDA ";IAP;lnGpS!;Anne-Camille.Muller;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;FT;
Théodore;Henry;ThéodoreHenry@cy-tech.fr;30;11,632;"DS ";"FT ";"IAC ";"BI ";"IAP ";HPDA;xSPDxZ;Théodore.Henry;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;DS;
Diane;de;Dianede@cy-tech.fr;15;12,428;"IAC ";"IAP ";"HPDA ";"DS ";"FT ";BI;i-v0A8;Diane.de;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;IAC;
Eugène;Albert;EugèneAlbert@cy-tech.fr;15;12,425;"DS ";"IAC ";"HPDA ";"BI ";"IAP ";FT;APEWzu;Eugène.Albert;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;DS;
Alexandria;Charpentier;AlexandriaCharpentier@cy-tech.fr;30;11,614;"DS ";"FT ";"BI ";"IAC ";"IAP ";HPDA;RMBjgb;Alexandria.Charpentier;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;BI;
Luc;Voisin;LucVoisin@cy-tech.fr;15;12,24;"IAP ";"HPDA ";"IAC ";"DS ";"FT ";BI;8K54J-;Luc.Voisin;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;IAP;
Anne;Pons;AnnePons@cy-tech.fr;15;11,891;"HPDA ";"IAP ";"DS ";"IAC ";"FT ";BI;Hr7wQ0;Anne.Pons;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;HPDA;
Diane;Lebreton;DianeLebreton@cy-tech.fr;30;10,943;"DS ";"FT ";"IAC ";"BI ";"HPDA ";IAP;Hf9JZj;Diane.Lebreton;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;IAC;
Manon;de;Manonde@cy-tech.fr;30;10,772;"DS ";"FT ";"IAC ";"BI ";"HPDA ";IAP;XKFjY@;Manon.de;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;IAC;
Émile;Poulain;ÉmilePoulain@cy-tech.fr;29;13,416;"FT ";"DS ";"BI ";"IAC ";"HPDA ";IAP;052RZB;Émile.Poulain;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;FT;
Olivie;Legendre;OlivieLegendre@cy-tech.fr;15;10,872;"IAP ";"HPDA ";"IAC ";"DS ";"BI ";FT;HzdV_V;Olivie.Legendre;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;IAP;
Laurence;Hebert;LaurenceHebert@cy-tech.fr;15;11,207;"DS ";"IAC ";"HPDA ";"IAP ";"BI ";FT;U8yUNW;Laurence.Hebert;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;HPDA;
Josette;Weber;JosetteWeber@cy-tech.fr;15;14,175;"FT ";"DS ";"IAC ";"BI ";"IAP ";HPDA;N5zqUO;Josette.Weber;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;FT;
Adélaïde;Carlier;AdélaïdeCarlier@cy-tech.fr;15;13,272;"FT ";"DS ";"IAC ";"BI ";"IAP ";HPDA;aI_h7w;Adélaïde.Carlier;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;FT;
Patricia;Didier;PatriciaDidier@cy-tech.fr;15;11,127;"DS ";"IAC ";"BI ";"FT ";"HPDA ";IAP;JamV_q;Patricia.Didier;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;BI;
Suzanne;Chauvet;SuzanneChauvet@cy-tech.fr;15;12,361;"FT ";"DS ";"IAC ";"IAP ";"HPDA ";BI;GcFrRW;Suzanne.Chauvet;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;FT;
Jérôme;Prevost;JérômePrevost@cy-tech.fr;15;11,845;"DS ";"FT ";"IAC ";"BI ";"HPDA ";IAP;d0l_WT;Jérôme.Prevost;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;DS;
Dominique;Lecoq;DominiqueLecoq@cy-tech.fr;15;11,725;"FT ";"DS ";"IAC ";"BI ";"HPDA ";IAP;kJYulo;Dominique.Lecoq;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;FT;
Roger;Bigot;RogerBigot@cy-tech.fr;15;10,046;"IAP ";"IAC ";"DS ";"FT ";"HPDA ";BI;b4tMS6;Roger.Bigot;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;IAP;
Guy;Pottier-Barre;GuyPottier-Barre@cy-tech.fr;15;9,527;"IAP ";"HPDA ";"IAC ";"DS ";"BI ";FT;_g7XeI;Guy.Pottier-Barre;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;IAP;
Alphonse;Levy;AlphonseLevy@cy-tech.fr;15;10,663;"HPDA ";"IAC ";"IAP ";"DS ";"BI ";FT;CwgUJD;Alphonse.Levy;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;HPDA;
Joséphine;Hoareau;JoséphineHoareau@cy-tech.fr;15;11,44;"FT ";"DS ";"BI ";"IAC ";"HPDA ";IAP;h3UZMH;Joséphine.Hoareau;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;FT;
Jérôme;Delannoy;JérômeDelannoy@cy-tech.fr;30;13,416;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;M57eSv;Jérôme.Delannoy;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;DS;
Marguerite;Martineau;MargueriteMartineau@cy-tech.fr;15;11,308;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;pZ!CXp;Marguerite.Martineau;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;FT;
Frédéric;Lambert;FrédéricLambert@cy-tech.fr;30;13,226;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;woX47C;Frédéric.Lambert;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;DS;
Gérard;Albert;GérardAlbert@cy-tech.fr;30;13,179;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;VPshcq;Gérard.Albert;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;DS;
Thérèse;Valette-Raymond;ThérèseValette-Raymond@cy-tech.fr;30;12,549;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;3hOKXP;Thérèse.Valette-Raymond;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;DS;
Xavier;Leclerc-Dupont;XavierLeclerc-Dupont@cy-tech.fr;15;11,201;"DS ";"FT ";"IAC ";"IAP ";"HPDA ";BI;er!LKZ;Xavier.Leclerc-Dupont;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;IAC;
