prenom;nom;login;"ECTS acquis";Moyenne;"Choix 1";"Choix 2";"Choix 3";"Choix 4";"Choix 5";"Choix 6";"Choix 7";"Choix 8";password;pseudo;"profile picture";"birth date";adress;"attributed option";"pseudo bloquee"
Marie;Blanc;MarieBlanc@cy-tech.fr;30;14,894;"CS ";"IAC ";"INEM ";"BI ";"ICC ";"IAP ";"HPDA ";VISUA;dtt3Zb;Marie.Blanc;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;CS;
Denise-Alexandrie;Clement;Denise-AlexandrieClement@cy-tech.fr;30;14,88;"IAC ";"IAP ";"CS ";"BI ";"HPDA ";"INEM ";"ICC ";VISUA;z@wU73;Denise-Alexandrie.Clement;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;IAC;
Luc;Ribeiro;LucRibeiro@cy-tech.fr;30;14,854;"CS ";"INEM ";"VISUA ";"IAC ";"ICC ";"IAP ";"HPDA ";BI;9dcjj1;Luc.Ribeiro;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;CS;
Charlotte;du;Charlottedu@cy-tech.fr;30;14,849;"CS ";"IAC ";"VISUA ";"INEM ";"BI ";"ICC ";"IAP ";HPDA;4aws05;Charlotte.du;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;CS;
Michèle;du;Michèledu@cy-tech.fr;30;14,835;"IAP ";"HPDA ";"ICC ";"IAC ";"INEM ";"CS ";"VISUA ";BI;q!ekhB;Michèle.du;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;IAP;
Hortense;Maillet;HortenseMaillet@cy-tech.fr;30;14,732;"IAC ";"CS ";"VISUA ";"BI ";"IAP ";"ICC ";"HPDA ";INEM;4KlJ6o;Hortense.Maillet;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;IAC;
Françoise;Chauveau;FrançoiseChauveau@cy-tech.fr;30;14,724;"VISUA ";"INEM ";"IAP ";"IAC ";"CS ";"HPDA ";"ICC ";BI;9W!3WL;Françoise.Chauveau;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;VISUA;
Jeanne;Le;JeanneLe@cy-tech.fr;30;14,689;"IAC ";"CS ";"INEM ";"IAP ";"BI ";"HPDA ";"ICC ";VISUA;Yp0bXm;Jeanne.Le;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;IAC;
Louis;Giraud;LouisGiraud@cy-tech.fr;30;14,683;"BI ";"INEM ";"IAC ";"CS ";"VISUA ";"HPDA ";"IAP ";ICC;e45!r@;Louis.Giraud;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;BI;
Hugues;Lemaire;HuguesLemaire@cy-tech.fr;30;14,65;"CS ";"ICC ";"INEM ";"IAC ";"VISUA ";"BI ";"IAP ";HPDA;1X@En-;Hugues.Lemaire;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;CS;
Yves;Roy-Perret;YvesRoy-Perret@cy-tech.fr;30;14,635;"INEM ";"CS ";"IAC ";"BI ";"VISUA ";"IAP ";"ICC ";HPDA;PofKqo;Yves.Roy-Perret;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;INEM;
Isaac;Riou;IsaacRiou@cy-tech.fr;30;14,633;"CS ";"IAC ";"INEM ";"BI ";"VISUA ";"ICC ";"IAP ";HPDA;FaksUK;Isaac.Riou;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;CS;
Daniel;Mace-Carre;DanielMace-Carre@cy-tech.fr;30;14,632;"HPDA ";"IAC ";"VISUA ";"IAP ";"CS ";"INEM ";"ICC ";BI;ny_QcW;Daniel.Mace-Carre;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;HPDA;
Laurence;Normand;LaurenceNormand@cy-tech.fr;30;14,573;"IAP ";"HPDA ";"ICC ";"IAC ";"BI ";"VISUA ";"CS ";INEM;fhnAV8;Laurence.Normand;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;IAP;
Antoine;Etienne;AntoineEtienne@cy-tech.fr;30;14,559;"CS ";"INEM ";"VISUA ";"BI ";"IAC ";"HPDA ";"ICC ";IAP;SAu0if;Antoine.Etienne;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;CS;
Éric;Le;ÉricLe@cy-tech.fr;30;14,557;"VISUA ";"INEM ";"IAP ";"CS ";"IAC ";"ICC ";"HPDA ";BI;Wtz4rA;Éric.Le;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;VISUA;
Lucas;Rolland;LucasRolland@cy-tech.fr;30;14,549;"HPDA ";"IAP ";"IAC ";"BI ";"VISUA ";"CS ";"ICC ";INEM;ReCCq7;Lucas.Rolland;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;HPDA;
Frédérique;Barre-Vallee;FrédériqueBarre-Vallee@cy-tech.fr;30;14,522;"CS ";"IAC ";"BI ";"VISUA ";"INEM ";"IAP ";"HPDA ";ICC;Hi!UZ2;Frédérique.Barre-Vallee;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;CS;
Laurence;Bailly;LaurenceBailly@cy-tech.fr;30;14,516;"INEM ";"IAP ";"IAC ";"ICC ";"CS ";"VISUA ";"BI ";HPDA;q0_Wzw;Laurence.Bailly;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;INEM;
Noémi;Evrard;NoémiEvrard@cy-tech.fr;30;14,495;"IAP ";"ICC ";"HPDA ";"IAC ";"BI ";"CS ";"INEM ";VISUA;yLOMG3;Noémi.Evrard;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;IAP;
Thibault;Faivre;ThibaultFaivre@cy-tech.fr;30;14,348;"ICC ";"IAP ";"HPDA ";"IAC ";"CS ";"BI ";"VISUA ";INEM;Ic@W4G;Thibault.Faivre;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;ICC;
Suzanne;de;Suzannede@cy-tech.fr;30;14,33;"IAC ";"IAP ";"VISUA ";"CS ";"HPDA ";"INEM ";"ICC ";BI;r7nQv7;Suzanne.de;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;IAC;
Eugène;Dumas;EugèneDumas@cy-tech.fr;30;14,321;"IAC ";"BI ";"CS ";"VISUA ";"INEM ";"IAP ";"ICC ";HPDA;Sx4QZq;Eugène.Dumas;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;IAC;
Michelle;Vidal;MichelleVidal@cy-tech.fr;30;14,318;"CS ";"ICC ";"VISUA ";"INEM ";"BI ";"IAC ";"IAP ";HPDA;eoutvl;Michelle.Vidal;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;CS;
René;Gomez;RenéGomez@cy-tech.fr;30;14,276;"CS ";"IAC ";"BI ";"INEM ";"IAP ";"ICC ";"HPDA ";VISUA;KpwezG;René.Gomez;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;CS;
Denise;Lebreton;DeniseLebreton@cy-tech.fr;30;14,272;"IAC ";"VISUA ";"CS ";"INEM ";"BI ";"IAP ";"HPDA ";ICC;6Qy7pc;Denise.Lebreton;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;IAC;
David;Godard-Clerc;DavidGodard-Clerc@cy-tech.fr;30;14,256;"IAP ";"ICC ";"IAC ";"INEM ";"VISUA ";"CS ";"BI ";HPDA;SrUufn;David.Godard-Clerc;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;IAP;
François;Leroux;FrançoisLeroux@cy-tech.fr;30;14,251;"IAC ";"IAP ";"CS ";"BI ";"ICC ";"HPDA ";"INEM ";VISUA;iNxHRU;François.Leroux;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;IAC;
Célina;Cordier;CélinaCordier@cy-tech.fr;30;14,246;"ICC ";"CS ";"IAP ";"IAC ";"BI ";"VISUA ";"INEM ";HPDA;A0xI5m;Célina.Cordier;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;ICC;
Marcelle;Turpin;MarcelleTurpin@cy-tech.fr;30;14,244;"CS ";"IAC ";"INEM ";"ICC ";"IAP ";"BI ";"HPDA ";VISUA;hXfrPM;Marcelle.Turpin;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;CS;
Benjamin;Guillou;BenjaminGuillou@cy-tech.fr;30;14,225;"ICC ";"INEM ";"CS ";"IAP ";"IAC ";"VISUA ";"BI ";HPDA;9UerL5;Benjamin.Guillou;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;ICC;
